0:49.974;123.5;128.5;2;0.474;0;
1:49.97;122.5;127.5;2;0.47;0;
2:49.966;121.5;126.5;2;0.466;0;
3:49.962;120.5;125.5;2;0.462;0;
4:49.958;119.5;124.5;2;0.458;0;
5:49.954;118.5;123.5;2;0.454;0;
6:49.95;117.5;122.5;2;0.45;0;
7:49.946;116.5;121.5;2;0.446;0;
8:49.942;115.5;120.5;2;0.442;0;
9:49.938;114.5;119.5;2;0.438;0;
10:49.934;113.5;118.5;2;0.434;0;
11:49.93;112.5;117.5;2;0.43;0;
12:49.926;111.5;116.5;2;0.426;0;
13:49.922;110.5;115.5;2;0.422;0;
14:49.918;109.5;114.5;2;0.418;0;
15:49.914;108.5;113.5;2;0.414;0;
16:49.91;107.5;112.5;2;0.41;0;
17:49.906;106.5;111.5;2;0.406;0;
18:49.902;105.5;110.5;2;0.402;0;
19:49.898;104.5;109.5;2;0.398;0;
20:49.894;103.5;108.5;2;0.394;0;
21:49.89;102.5;107.5;2;0.39;0;
22:49.886;101.5;106.5;2;0.386;0;
23:49.882;100.5;105.5;2;0.382;0;
24:49.878;99.5;104.5;2;0.378;0;
25:49.874;98.5;103.5;2;0.374;0;
26:49.87;97.5;102.5;2;0.37;0;
27:49.866;96.5;101.5;2;0.366;0;
28:49.862;95.5;100.5;2;0.362;0;
29:49.858;94.5;99.5;2;0.358;0;
30:49.854;93.5;98.5;2;0.354;0;
31:49.85;92.5;97.5;2;0.35;0;
32:49.846;91.5;96.5;2;0.346;0;
33:49.842;90.5;95.5;2;0.342;0;
34:49.838;89.5;94.5;2;0.338;0;
35:49.834;88.5;93.5;2;0.334;0;
36:49.83;87.5;92.5;2;0.33;0;
37:49.826;86.5;91.5;2;0.326;0;
38:49.822;85.5;90.5;2;0.322;0;
39:49.818;84.5;89.5;2;0.318;0;
40:49.814;83.5;88.5;2;0.314;0;
41:49.81;82.5;87.5;2;0.31;0;
42:49.806;81.5;86.5;2;0.306;0;
43:49.802;80.5;85.5;2;0.302;0;
44:49.798;79.5;84.5;2;0.298;0;
45:49.794;78.5;83.5;2;0.294;0;
46:49.79;77.5;82.5;2;0.29;0;
47:49.786;76.5;81.5;2;0.286;0;
48:49.782;75.5;80.5;2;0.282;0;
49:49.778;74.5;79.5;2;0.278;0;
50:49.774;73.5;78.5;2;0.274;0;
51:49.77;72.5;77.5;2;0.27;0;
52:49.766;71.5;76.5;2;0.266;0;
53:49.762;70.5;75.5;2;0.262;0;
